enemyType,appearTime,positionX,positionZ,hp,score,moveSpeedCoef,movePattern,shootPattern,timeToStartShooting,shootingCycleTime,bulletSpeed,isItemHolder
1,2,2,12,1,1,3,N,Straight,0,1.2,6,false
1,2.5,2,12,1,1,3,N,Straight,0,1.2,6,false
1,3,2,12,1,1,3,N,Straight,0,1.2,6,false
4,6,0,12,5,5,3,GoThrough,AllDirections,0,1.2,8,false
4,8,0,12,5,5,2.5,GoThrough,AllDirections,0,1.2,8,false
2,10,-2,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
2,10,0,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
2,10,2,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
5,13,0,12,1,1,2,GoThrough,NotShooting,10,10,0,true
3,16,2,12,5,5,6,SouthWest,ToPlayer,0,1.2,6,false
3,18,2,12,5,5,7,SouthWest,ToPlayer,0,1.2,6,false
2,20,-2,12,3,3,3,UFromLeft,NotShooting,10,10,0,false
2,20.5,-2,12,3,3,3,UFromLeft,NotShooting,10,10,0,false
2,21,-2,12,3,3,3,UFromLeft,NotShooting,10,10,0,false
3,23,-2,12,5,5,6,SouthEast,ToPlayer,0,1.2,6,false
3,24,-2,12,5,5,7,SouthEast,ToPlayer,0,1.2,6,false
4,26,-2,12,5,5,3,NInvert,AllDirections,0,1.2,7,false
4,27,-2,12,5,5,3,NInvert,AllDirections,0,1.2,7,false
1,28,-2,12,1,1,6,GoThrough,Straight,0,1.2,6,false
1,28,2,12,1,1,6,GoThrough,Straight,0,1.2,6,false
1,29,-2,12,1,1,6,GoThrough,Straight,0,1.2,6,false
1,29,2,12,1,1,6,GoThrough,Straight,0,1.2,6,false
1,30,-2,12,1,1,6,GoThrough,Straight,0,1.2,6,false
1,30,2,12,1,1,6,GoThrough,Straight,0,1.2,6,false
0,35,0,12,30,20,,,,,,,
